"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","151","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testConnectionResilience","Test Connection Resilience",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","8","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testDockerConnection","Test MongoDB Docker Container Connection",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","39","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testDatabaseOperations","Test Database Operations",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","1","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testMongoDBEnvironment","Test MongoDB Environment",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","25","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testMultipleDatabaseAccess","Test Multiple Database Access",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","11","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testBasicOperations","Test Basic Operations",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","17","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testIndexOperations","Test Index Operations",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","12","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testAggregationPipeline","Test Aggregation Pipeline",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","15","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testConnectionPoolPerformance","Test Connection Pool Performance",""
"passed","Fri Aug 08 17:29:05 IST 2025","Fri Aug 08 17:29:05 IST 2025","26","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","","com.bdd.framework.mongo.DockerMongoDBIntegrationTest","testCleanupAndVerification","Test Cleanup and Final Verification",""
